regime,model,observations,accuracy,balanced_accuracy,f1,roc_auc
Low volatility,Majority Class Benchmark,303,0.43564356435643564,0.5,0.0,
Low volatility,Random-Walk Persistence Benchmark,303,0.570957095709571,0.5620015948963317,0.6242774566473989,
Low volatility,Logistic Regression,303,0.5643564356435643,0.5518341307814992,0.6271186440677966,0.5658337763600921
Low volatility,Decision Tree,303,0.5214521452145214,0.4965443912812334,0.6194225721784777,0.4779151160730108
Low volatility,Random Forest,303,0.5247524752475248,0.513290802764487,0.5885714285714285,0.5038543328017012
Medium volatility,Majority Class Benchmark,280,0.44285714285714284,0.5,0.0,
Medium volatility,Random-Walk Persistence Benchmark,280,0.5607142857142857,0.5569685690653432,0.5993485342019544,
Medium volatility,Logistic Regression,280,0.5428571428571428,0.5351530190239867,0.5949367088607594,0.5300868486352357
Medium volatility,Decision Tree,280,0.525,0.516645988420182,0.580441640378549,0.5116573614557486
Medium volatility,Random Forest,280,0.5178571428571429,0.5110628618693135,0.5686900958466453,0.5199028122415219
High volatility,Majority Class Benchmark,296,0.5,0.5,0.0,
High volatility,Random-Walk Persistence Benchmark,296,0.597972972972973,0.597972972972973,0.5993265993265994,
High volatility,Logistic Regression,296,0.5405405405405406,0.5405405405405406,0.4728682170542636,0.5598977355734113
High volatility,Decision Tree,296,0.5337837837837838,0.5337837837837838,0.5460526315789473,0.5364773557341124
High volatility,Random Forest,296,0.581081081081081,0.5810810810810811,0.5838926174496645,0.6166910153396639
