fold,model,accuracy,balanced_accuracy,f1,roc_auc,test_start,test_end
1,Majority Class Benchmark,0.5034246575342466,0.5,0.6697038724373576,,2021-01-09 17:30:00,2021-01-10 17:45:00
1,Random-Walk Persistence Benchmark,0.5171232876712328,0.5171240910157167,0.5187713310580204,,2021-01-09 17:30:00,2021-01-10 17:45:00
1,Logistic Regression,0.523972602739726,0.524255219329111,0.505338078291815,0.5643443584330283,2021-01-09 17:30:00,2021-01-10 17:45:00
1,Decision Tree,0.5616438356164384,0.5616232699976542,0.564625850340136,0.6078348580811634,2021-01-09 17:30:00,2021-01-10 17:45:00
1,Random Forest,0.5547945205479452,0.5547267182735163,0.5608108108108109,0.5720853858784893,2021-01-09 17:30:00,2021-01-10 17:45:00
2,Majority Class Benchmark,0.547945205479452,0.5,0.0,,2021-01-10 17:50:00,2021-01-11 18:05:00
2,Random-Walk Persistence Benchmark,0.5376712328767124,0.5337121212121212,0.49056603773584906,,2021-01-10 17:50:00,2021-01-11 18:05:00
2,Logistic Regression,0.5616438356164384,0.5549242424242424,0.5,0.5567708333333333,2021-01-10 17:50:00,2021-01-11 18:05:00
2,Decision Tree,0.4554794520547945,0.45473484848484846,0.4259927797833935,0.42616003787878787,2021-01-10 17:50:00,2021-01-11 18:05:00
2,Random Forest,0.5136986301369864,0.5032196969696969,0.42276422764227645,0.5070549242424243,2021-01-10 17:50:00,2021-01-11 18:05:00
3,Majority Class Benchmark,0.4863013698630137,0.5,0.0,,2021-01-11 18:10:00,2021-01-12 18:25:00
3,Random-Walk Persistence Benchmark,0.5684931506849316,0.568169014084507,0.58,,2021-01-11 18:10:00,2021-01-12 18:25:00
3,Logistic Regression,0.5582191780821918,0.5589201877934272,0.5536332179930796,0.5708920187793427,2021-01-11 18:10:00,2021-01-12 18:25:00
3,Decision Tree,0.5171232876712328,0.518169014084507,0.5052631578947369,0.5344600938967137,2021-01-11 18:10:00,2021-01-12 18:25:00
3,Random Forest,0.5684931506849316,0.5664788732394366,0.6037735849056604,0.574037558685446,2021-01-11 18:10:00,2021-01-12 18:25:00
4,Majority Class Benchmark,0.476027397260274,0.5,0.0,,2021-01-12 18:30:00,2021-01-13 18:45:00
4,Random-Walk Persistence Benchmark,0.5445205479452054,0.5436356796915409,0.5639344262295082,,2021-01-12 18:30:00,2021-01-13 18:45:00
4,Logistic Regression,0.5445205479452054,0.5360652654347111,0.6210826210826211,0.5559317252080689,2021-01-12 18:30:00,2021-01-13 18:45:00
4,Decision Tree,0.4726027397260274,0.4690835566840645,0.51875,0.472727700192787,2021-01-12 18:30:00,2021-01-13 18:45:00
4,Random Forest,0.5,0.4981896835472798,0.5290322580645161,0.4951333051206094,2021-01-12 18:30:00,2021-01-13 18:45:00
5,Majority Class Benchmark,0.5856164383561644,0.5,0.7386609071274298,,2021-01-13 18:50:00,2021-01-14 19:05:00
5,Random-Walk Persistence Benchmark,0.6164383561643836,0.6048523512638345,0.672514619883041,,2021-01-13 18:50:00,2021-01-14 19:05:00
5,Logistic Regression,0.523972602739726,0.5162389444686095,0.5800604229607251,0.5376250543714658,2021-01-13 18:50:00,2021-01-14 19:05:00
5,Decision Tree,0.523972602739726,0.5065729060944372,0.5994236311239193,0.5188246097337006,2021-01-13 18:50:00,2021-01-14 19:05:00
5,Random Forest,0.5616438356164384,0.5544439611425257,0.6144578313253012,0.5919965202261852,2021-01-13 18:50:00,2021-01-14 19:05:00
